time	FN	GP	GA	ST	ET	EP	EH	WX	WY	WZ	WC	Area	Amplitude	Position	width	base0	base1	base2	Area error	Amplitude error	Position error	width error	base0 error	base1 error	base2 error	chi/m	residual noise	
        2457882.186307871	        13.00000000000000	        5.000000000000000	        8.550000000000001	        20.10000000000000	        286.8500000000000	        762.3000000000000	        8509.265438308994	       -1.793750000000000	        2.194000000000000	      -0.6055000000000000	        338.9810000000000	   3.342132630988043E-007	     0.004866856619310894	       0.1013596278000582	       0.1126491047809610	      0.05557854064761247	     -0.02541478005011136	     -0.04226894687558173	   2.908185608216794E-009	   2.885853120729459E-005	    0.0001214865673518104	    0.0003122613730899505	   2.605972837118322E-005	   1.582246791982549E-005	    0.0001070577727087917	        51.63357212810039	    0.0005508815560276194	
        2457882.186342593	        20.00000000000000	        5.000000000000000	        8.550000000000001	        20.00000000000000	        286.8500000000000	        762.3000000000000	        8493.577066199938	       -1.783250000000000	       0.3552500000000000	      -0.1407500000000000	        339.0250000000000	  -1.093373144991920E-006	     0.004328767846573883	      0.09860267684868597	       0.1091560570653304	      0.04010659428854895	     -0.01895694989070349	     -0.02771706563655468	  -1.356559852791327E-008	   3.646278105287779E-005	    0.0001713439321954449	    0.0004348499268926253	   2.509527202536469E-005	   1.554004765407197E-005	    0.0001046491399178606	        21.79292147562308	    0.0003578901958952275	
        2457882.186377315	        27.00000000000000	        5.000000000000000	        8.550000000000001	        20.20000000000000	        286.8500000000000	        762.4425000000000	        8491.976141715655	       -1.112750000000000	      0.03800000000000000	     -0.04200000000000000	        339.1970000000000	   3.679863574134035E-006	     0.005919449869383169	       0.1043363283220728	       0.1226024915990529	      0.03890933202287837	     -0.01913802196718505	     -0.02971197954195552	   4.673670257205064E-008	   5.159892129763291E-005	    0.0001817056473829621	    0.0004884259786887699	   2.900734656938420E-005	   1.620083431886618E-005	    0.0001144705181470850	        26.87715659958084	    0.0003974509984552624	
        2457882.186423612	        34.00000000000000	        5.000000000000000	        8.550000000000001	        20.10000000000000	        286.8500000000000	        762.3000000000000	        8477.889182180012	       -1.272500000000000	       0.6122500000000000	       0.5617501000000000	        339.2480000000000	   1.357362474216218E-007	     0.004769936150424027	       0.1039060215509791	       0.1127305464043054	      0.04569535334553995	     -0.02134039241863293	     -0.03605457425385088	   1.460942867319748E-009	   3.497563994901581E-005	    0.0001509434142360228	    0.0003867315000008430	   2.585328169266841E-005	   1.585193519309175E-005	    0.0001063412116795842	        37.43190837439101	    0.0004690434144157890	
        2457882.186458334	        41.00000000000000	        5.000000000000000	        8.550000000000001	        20.20000000000000	        286.8500000000000	        762.3000000000000	        8462.201786226431	       -2.496250000000000	       0.9205000000000000	      -0.2030000000000000	        339.1540000000000	   3.137704059667635E-006	     0.005769408211261861	       0.1044658214970342	       0.1208056046310537	      0.05320630265960197	     -0.02435498005849258	     -0.04230767056786254	   2.867426632363182E-008	   3.612829074704056E-005	    0.0001306360592767169	    0.0003475057250491880	   2.830920929714288E-005	   1.624867658437688E-005	    0.0001126099277251953	        48.49278939927048	    0.0005338639462424837	
        2457882.186493056	        48.00000000000000	        5.000000000000000	        8.550000000000001	        20.10000000000000	        287.1500000000000	        762.1567500000000	        8615.866576172735	       -2.421250000000000	        1.422250000000000	      -0.5980000000000000	        338.6620000000000	   1.283718251243544E-006	     0.005156110910391626	       0.1025157827204996	       0.1160991017811682	      0.04792613057487621	     -0.02369133667896248	     -0.03524877315455888	   1.322172430920624E-008	   3.628911841731914E-005	    0.0001448533051402676	    0.0003786541586273395	   2.710606255284659E-005	   1.588306458715637E-005	    0.0001097104177157108	        38.67890345495027	    0.0004767921526795423	
        2457882.186539352	        55.00000000000000	        5.000000000000000	        8.550000000000001	        20.00000000000000	        286.9500000000000	        762.4425000000000	        8500.493398356522	       -2.991750000000000	        1.136500000000000	       0.2387500000000000	        338.9980000000000	   3.431408261639649E-006	     0.005836167823224039	       0.1028932048999094	       0.1220935313648085	      0.04958704937561529	     -0.02463150538713098	     -0.03877362438031455	   3.436493519132105E-008	   4.011083354619249E-005	    0.0001427309642540100	    0.0003836198811534264	   2.893763700871377E-005	   1.608532392149390E-005	    0.0001146566959392942	        42.89071458624927	    0.0005020808161912909	
        2457882.186574074	        62.00000000000000	        5.000000000000000	        8.550000000000001	        20.00000000000000	        287.1500000000000	        762.1567500000000	        8599.862963186191	       -2.667500000000000	        2.150250000000000	     -0.05600000000000000	        339.0120000000000	   2.843442430330778E-006	     0.005658463566869052	       0.1019477498757370	       0.1204153344777047	      0.04238771793878964	     -0.02038607015366765	     -0.03194144467481890	   3.313096172464570E-008	   4.520291956534258E-005	    0.0001651427020405126	    0.0004411004208597622	   2.846609298115811E-005	   1.606739556199719E-005	    0.0001133154987021484	        28.69406791632133	    0.0004106654068934587	
        2457882.186608797	        69.00000000000000	        5.000000000000000	        8.550000000000001	        20.10000000000000	        286.8500000000000	        762.4425000000000	        8413.556509239605	       -1.516000000000000	        1.641250000000000	       0.9542500000000000	        339.0650000000000	   1.934717733039491E-006	     0.005374942958276933	       0.1027109514555229	       0.1177977971961371	      0.03504986032027242	     -0.01610713872798810	     -0.02558418416703443	   2.702758370839813E-008	   5.137573859860990E-005	    0.0001973050110209139	    0.0005196535519341645	   2.755234171545287E-005	   1.609093659793634E-005	    0.0001105788802326240	        19.01117413528766	    0.0003342694044158538	
        2457882.186655093	        76.00000000000000	        5.000000000000000	        8.550000000000001	        20.10000000000000	        286.8500000000000	        762.3000000000000	        8415.142526536027	       -2.031250000000000	        1.851250000000000	      -0.5260000000000000	        338.8270000000000	  -3.148727189348564E-007	     0.004603498534092912	       0.1020768872980649	       0.1116133646211327	      0.04999581334815502	     -0.02388000872754811	     -0.03562199962743094	  -3.138232132906833E-009	   3.126040174597347E-005	    0.0001384390670815311	    0.0003544945332640058	   2.573183399806628E-005	   1.575561836546415E-005	    0.0001059633921430231	        35.25661851982648	    0.0004552108071464960	
