MIRICO/SHELL project - Processed LDS file generated on
Mon May 08 21:00:06 2017
Time stamp for record start
05/08/2017  16:28:17.0000
Nb of points in the record
         614
Beam position index
       5.0000000
Beam angle (degrees)
       8.5500000
Open Path length (m)
       41.505000
****************** Temporal data record ************************
Elapsed time   Temp   Press   Humidity   Wind X   Wind Y   Wind Z   Speed of sound   CH4 vmr   CH4 vmr error  
Seconds   Kelvin   Pa   ppmv   m/s   m/s   m/s   m/s   ppmv   ppmv  
      0.00000000       286.85000       101631.64       8509.2654      -1.7937500       2.1940000     -0.60550000       338.98100      0.33421326    0.0029081856
       3.0000240       286.85000       101631.64       8493.5771      -1.7832500      0.35525000     -0.14075000       339.02500      -1.0933731    -0.013565599
       6.0000077       286.85000       101650.64       8491.9761      -1.1127500     0.038000000    -0.042000000       339.19700       3.6798636     0.046736703
       10.000026       286.85000       101631.64       8477.8892      -1.2725000      0.61225000      0.56175010       339.24800      0.13573625    0.0014609429
       13.000010       286.85000       101631.64       8462.2018      -2.4962500      0.92050000     -0.20300000       339.15400       3.1377041     0.028674266
       15.999994       287.15000       101612.54       8615.8666      -2.4212500       1.4222500     -0.59800000       338.66200       1.2837183     0.013221724
       20.000012       286.95000       101650.64       8500.4934      -2.9917500       1.1365000      0.23875000       338.99800       3.4314083     0.034364935
       22.999996       287.15000       101612.54       8599.8630      -2.6675000       2.1502500    -0.056000000       339.01200       2.8434424     0.033130962
       26.000020       286.85000       101650.64       8413.5565      -1.5160000       1.6412500      0.95425000       339.06500       1.9347177     0.027027584
       29.999998       286.85000       101631.64       8415.1425      -2.0312500       1.8512500     -0.52600000       338.82700     -0.31487272   -0.0031382321
       33.000022       286.85000       101631.64       8399.4571     -0.81000010       1.9277500    -0.031500000       339.12700       1.1235843     0.011688011
       36.000006       286.85000       101650.64       8397.8740      -2.5370000       2.0410000     -0.24000000       338.95100      -2.0981415    -0.021400733
       40.000024       286.85000       101631.64       8415.1425      -2.3165000       1.7067500      0.25300000       338.81400     -0.64750670   -0.0061637296
       43.000008       286.85000       101612.54       8432.4264      -2.7097500       1.7382500     -0.28225000       338.76000     -0.41632904   -0.0048165994
       45.999992       286.85000       101650.64       8429.2395      -2.7810000       1.1160000    -0.046500000       338.58600      0.36710022    0.0036630658
       50.000010       286.85000       101631.64       8415.1425      -1.2692500       1.8342500     -0.15425000       338.97500      -1.1894324    -0.012385166
       52.999994       287.05000       101631.64       8526.2117      -3.6600000       2.2712500      0.23800000       338.68100       1.8008722     0.018835911
       56.000018       286.85000       101631.64       8430.8285      -2.7175000       1.5352500     -0.27850000       338.85400      0.72948291    0.0083556422
       59.999996       287.25000       101650.64       8669.1588      -2.0957500       1.1120000      0.62125000       338.94100     -0.22474619   -0.0021752378
       63.000020       286.75000       101650.64       8374.0953      -2.6097500       1.3705000    -0.014250000       338.96000       1.7054216     0.014233581
       66.000004       286.65000       101631.64       8320.8399      -4.1537500       1.4682500     -0.56125000       338.64700      0.40681634    0.0040883024
       70.000023       286.85000       101650.64       8429.2395      -2.7485000      0.79850010     0.022000000       338.99300       2.7246890     0.026162088
       73.000006       286.85000       101650.64       8444.9229      -1.5785000       1.6172500    -0.026250000       339.00500       1.1096266     0.012115800
       76.000030       286.85000       101612.54       8432.4264     -0.82250010       1.6207500      0.50825000       338.74000     -0.77237643   -0.0073205958
       80.000009       286.85000       101631.64       8430.8285      -2.3975000       1.0860000     -0.24825000       339.03700       1.7495925     0.018083093
       82.999992       286.85000       101650.64       8444.9229      -3.5547500       1.0062500      0.65325000       338.65900       1.1666881     0.011152301
       86.000016       286.85000       101631.64       8462.2018      -2.0910000       1.6902500     -0.31350000       338.97900       4.1907228     0.041995159
       89.999995       287.15000       101650.64       8612.6097      -1.9045000     -0.35075000     0.053250000       338.99200       1.7832098     0.018638960
       93.000019       286.75000       101631.64       8391.2568      -2.0662500       1.7150000      0.36100000       339.08400       1.7721696     0.025427463
       96.000002       286.75000       101631.64       8391.2568      -4.4790000       1.8722500     -0.64500000       338.56900       2.2814257     0.021501234
       100.00002       286.85000       101612.54       8448.1158      -2.7430000       1.3717500      0.24825000       338.70200       2.1292431     0.022906812
       103.00000       286.75000       101650.64       8405.2558      -3.1130000       1.7087500     0.078500000       338.85700      0.42631107    0.0038495351
       106.00003       286.75000       101650.64       8389.6753      -4.0155000      0.95775000     -0.14225000       338.63700       1.3493112     0.013232501
       110.00001       286.85000       101631.64       8462.2018      -2.3410000       1.6522500      0.37825000       338.91400     0.090661398   0.00093565280
       113.00003       286.75000       101650.64       8405.2558      -2.7337500       1.7270000      0.30600000       338.80700      0.27126982    0.0027149806
       116.00001       286.85000       101631.64       8446.5149      -3.7625000       1.1562500      0.50550000       338.88700       1.5540543     0.021052625
       119.99999       286.75000       101650.64       8405.2558      -2.6180000       1.8722500     -0.30250000       338.84300      0.42295457    0.0062626979
       123.00002       286.85000       101650.64       8444.9229      -4.0185000      0.57500000    -0.071750000       338.76700       1.3345760     0.014671275
       126.00000       286.85000       101650.64       8444.9229      -3.0915000       1.7335000     -0.15075000       339.10700       1.0238383     0.011858563
       130.00002       286.75000       101631.64       8375.6738      -3.3372500       2.2315000     -0.50800000       338.54700     -0.89039128   -0.0095632018
       133.00000       286.85000       101631.64       8430.8285      -1.1450000       1.3030000      0.43475000       339.02600       2.6102473     0.031624923
       136.00003       287.25000       101650.64       8669.1588      -1.5152500       1.9340000     -0.61650000       339.09400       3.5820985     0.041818025
       139.00001       286.75000       101650.64       8420.8367      -2.6430000      0.71125000     -0.30775000       338.93500     -0.73270432   -0.0079498909
       143.00003       287.15000       101631.64       8662.2383      -2.7237500       1.3387500      0.35850000       338.79300       2.2890007     0.027018522
       146.00001       287.05000       101650.64       8588.1743      -1.9807500      0.50300000      0.34175000       338.91000       2.0672254     0.019755006
       149.00000       286.75000       101631.64       8422.4241      -2.5862500       1.2865000    -0.023750000       338.96200       4.1113565     0.059331505
       153.00002       286.75000       101650.64       8436.4181      -2.5335000      0.14800000     0.017000000       339.03500       1.6476988     0.024177767
       156.00000       286.85000       101631.64       8477.8892      -1.7730000     -0.18550000      0.20425000       339.09200       5.8072727     0.082441109
       159.00002       286.85000       101650.64       8476.2912      -2.6077500     -0.31775000      0.10700000       338.89400       2.2991721     0.037496059
       163.00000       286.85000       101631.64       8462.2018      -3.5087500       1.5570000     -0.28125000       338.79000       2.9790723     0.031326394
       166.00002       287.25000       101631.64       8654.6869      -3.3112500       1.9895000      0.26750000       338.97700       2.2997369     0.026837688
       169.00001       286.75000       101650.64       8327.3582      -3.4927500      0.94400010    -0.026500000       338.86000       3.3184981     0.031532615
       173.00003       286.85000       101650.64       8382.1921      -3.0690000      0.80475000      0.77450000       338.77400       4.7469192     0.060586201
       176.00001       286.75000       101650.64       8327.3582      -3.4130000      0.29700000      0.29000000       338.81000      0.15865660    0.0019350228
       178.99999       286.85000       101650.64       8397.8740      -3.6965000     -0.74775000    -0.039500000       338.85100       4.2715364     0.065473523
       183.00001       286.75000       101650.64       8358.5158      -3.8442500       1.3832500     -0.73600010       338.87800      0.41326177    0.0050138205
       186.00000       286.75000       101650.64       8358.5158      -3.1812500       2.0400000     -0.31825000       338.80400       1.7729673     0.018829391
       189.00002       286.75000       101650.64       8358.5158      -3.2100000       1.8742500     -0.41325000       338.67400       3.3228227     0.034748409
       193.00000       286.75000       101650.64       8342.9368      -1.7817500    -0.062000000    0.0045000000       338.91900     0.088044759    0.0012404526
       196.00002       286.75000       101631.64       8313.3469      -3.2997500      0.33350000     -0.22725000       338.64300       5.6901697     0.059696293
       199.00001       286.75000       101631.64       8297.7663      -2.6100000     -0.72950010      0.24475000       338.96900       2.6329000     0.032677848
       203.00003       286.75000       101631.64       8297.7663      -2.5830000      -1.1515000      0.38600000       338.71900      0.20703086    0.0021483274
       206.00001       286.75000       101650.64       8311.7802      -1.8582500      0.69650000     0.058750000       338.72700      0.85495686    0.0074615768
       208.99999       286.75000       101631.64       8328.9279      -2.4195000     0.042000000     -0.21725000       338.88700       3.1116393     0.031130443
       213.00001       286.65000       101650.64       8288.3189      -3.1932500     -0.52850000     0.051000000       338.75600       1.1540987     0.014287124
       216.00000       286.65000       101631.64       8320.8399      -2.8232500     -0.35125000    0.0022500000       338.86600      0.78373212     0.012155649
       219.00002       286.65000       101631.64       8367.2816      -2.2880000      -1.1112500      0.54125010       338.92500       2.2512456     0.034496537
       223.00000       286.65000       101631.64       8367.2816      -2.4795000     -0.77975000      0.65675000       338.73800       2.6810575     0.028359004
       226.00002       286.75000       101631.64       8438.0085      -2.7230000       1.3145000      0.19900000       338.88600       1.5313688     0.017230198
       229.00001       286.55000       101631.64       8343.2189      -2.7940000       1.3610000     -0.41525000       338.86500       2.5068191     0.022912578
       233.00002       286.55000       101631.64       8343.2189      -2.7967500       1.1120000      0.70050000       338.80100       3.2725972     0.035260321
       236.00001       286.75000       101650.64       8467.5824      -2.7880000       1.0687500      0.37575000       339.02000     -0.62044418   -0.0051195812
       239.00003       286.65000       101650.64       8443.1022      -1.7342500      0.40675000    -0.097500000       338.85100       1.5810483     0.017608099
       243.00001       286.65000       101631.64       8429.2105      -1.7247500       1.1087500    -0.067750010       339.00100    0.0038265926  3.2742643e-005
       245.99999       286.65000       101631.64       8444.6939      -1.0575000       1.2025000    -0.089500000       339.00200       2.8852028     0.036910661
       249.00002       286.55000       101650.64       8387.7797     -0.93650010       1.7000000    -0.088250000       338.99500       2.0063912     0.023437452
       253.00000       286.75000       101650.64       8529.9168      -1.7915000      0.92975000     -0.26000000       339.10700       1.1817456     0.017453306
       256.00002       286.65000       101650.64       8474.0646      -2.0605000      0.39325000     -0.21525000       339.15800       2.1338158     0.026829655
       259.00000       286.65000       101631.64       8444.6939      -1.7940000     -0.83775000      0.34225000       339.16500       2.9999917     0.037160406
       263.00002       286.65000       101631.64       8444.6939      -2.9072500      0.40925000      0.15200000       338.76200       1.9428152     0.022571225
       266.00001       286.65000       101650.64       8427.6218      -2.9565000      0.35350000      0.14125000       338.77900     -0.26076741   -0.0025102260
       269.00003       286.75000       101650.64       8452.0000      -3.9195000       1.1762500     -0.42525000       338.74900       1.5436952     0.014153933
       272.00001       286.65000       101631.64       8398.2451      -3.8475000       2.0495000    -0.093750010       338.70400      0.69068023    0.0065046400
       275.99999       286.75000       101631.64       8453.5934      -3.4010000       1.9562500     -0.16475000       338.89300     -0.88998292   -0.0083220113
       279.00002       286.65000       101650.64       8443.1022      -3.4085000      0.73425000     -0.60325000       338.72200     0.025131147   0.00035546992
       282.00000       286.75000       101650.64       8529.9168      -2.9437500      0.71950000     -0.24475000       338.77100       2.6578942     0.036867820
