MIRICO/SHELL project - Processed LDS file generated on
Mon May 08 21:08:17 2017
Time stamp for record start
05/08/2017  16:28:17.0000
Nb of points in the record
         614
Beam position index
       6.0000000
Beam angle (degrees)
       13.600000
Open Path length (m)
       29.155000
****************** Temporal data record ************************
Elapsed time   Temp   Press   Humidity   Wind X   Wind Y   Wind Z   Speed of sound   CH4 vmr   CH4 vmr error  
Seconds   Kelvin   Pa   ppmv   m/s   m/s   m/s   m/s   ppmv   ppmv  
      0.00000000       286.85000       101631.64       8509.2654      -2.5412500       2.4247500     -0.21875000       339.08300      -2.2381674    -0.083168229
       4.0000185       286.85000       101631.64       8493.5771      -1.6467500      0.14750000      0.30600000       339.02800     -0.64497688    -0.026191759
       7.0000023       286.85000       101631.64       8493.5771      -1.6790000      0.89500000      0.13125000       339.22200      -1.6177711    -0.067178796
       10.000026       286.85000       101631.64       8477.8892      -1.7900000      0.51850000     -0.14925000       339.07400     -0.16068597   -0.0064232774
       14.000005       286.85000       101631.64       8462.2018      -2.0717500      0.52100000      0.18850000       339.09600     -0.72844787    -0.026301056
       17.000028       286.85000       101631.64       8446.5149      -2.0050000       1.1822500    -0.072000000       338.87200    -0.019600274  -0.00088311219
       20.000012       287.25000       101631.64       8654.6869      -2.2622500     0.097750010    -0.061500000       339.11600      -1.3252095    -0.068027296
       24.000031       286.85000       101612.54       8416.7375      -2.4175000       2.3530000      0.32075000       339.14900       3.5599801      0.21069429
       27.000014       286.85000       101631.64       8415.1425     -0.73450010       1.4467500     0.073750000       339.24100      -1.9739888    -0.073095667
       29.999998       286.95000       101650.64       8453.1324      -1.4342500       1.8595000      0.12300000       338.81700      -1.3778558    -0.058504804
       34.000017       286.85000       101631.64       8399.4571      -1.7687500       1.2445000      0.91250000       339.03900      0.13317935    0.0051714122
       37.000000       286.85000       101650.64       8397.8740      -1.4945000       1.3362500     -0.18000000       338.77200      -1.5859340    -0.058749658
       40.000024       286.85000       101650.64       8413.5565      -2.6580000       1.6077500     -0.20050000       338.82500       3.2423734      0.12494540
       44.000003       286.85000       101612.54       8432.4264      -2.0130000       1.3710000     -0.88025000       338.85700       1.8487388     0.078787354
       47.000027       286.85000       101650.64       8444.9229      -2.5582500       1.3577500     -0.19300000       338.63800      -4.2722460     -0.19187175
       50.000010       286.85000       101631.64       8415.1425     -0.92250000       2.4600000      0.42200000       339.07600       1.5042870     0.050184883
       52.999994       286.85000       101650.64       8413.5565      -3.3957500       1.9217500     -0.27975000       338.62400      -1.5746386    -0.077363241
       57.000013       286.85000       101650.64       8444.9229      -2.9977500       1.8870000     -0.19750000       338.72700      -1.7366362    -0.092905920
       59.999996       286.85000       101650.64       8444.9229      -2.2857500       1.5030000     -0.28900000       338.93800       3.0039708      0.12962926
       63.000020       286.85000       101650.64       8429.2395      -2.9025000       1.7442500      0.39725000       338.78000     -0.63940284    -0.025048342
       66.999999       286.85000       101631.64       8430.8285      -3.6137500       2.1687500     -0.42550000       338.67100     -0.28401757   -0.0094695119
       70.000023       286.85000       101612.54       8432.4264      -2.9095000       1.6010000     -0.12850000       338.82500    -0.030662881   -0.0014647027
       73.000006       286.85000       101631.64       8446.5149      -2.0775000       2.0540000     -0.14475000       338.89500      0.85575579     0.039949469
       77.000025       286.85000       101631.64       8430.8285      -1.3460000       1.5702500     0.086750000       338.72500      -2.3042296    -0.082725193
       80.000009       286.85000       101631.64       8430.8285      -2.9045000       1.1347500      0.36450000       339.11400      -1.1699427    -0.055782986
       82.999992       286.85000       101650.64       8444.9229      -3.4557500       1.0905000    -0.039750000       338.59300       3.1217023      0.14002552
       87.000011       286.85000       101650.64       8460.6068      -2.9305000       1.8817500      0.17025000       338.91400      -3.1858613     -0.12068450
       89.999995       286.85000       101631.64       8446.5149      -2.3790000    -0.012000000     -0.13725000       338.90500      -2.0305451    -0.093478310
       93.000019       287.15000       101631.64       8598.2330      -3.8577500       2.2000000     -0.20225000       338.67500      -1.7037631    -0.067363025
       96.999997       286.85000       101631.64       8446.5149      -2.9952500      0.22625000      0.49250000       338.90900      -1.9349163    -0.075436944
       100.00002       286.75000       101631.64       8391.2568      -2.5615000       1.2285000      0.36425000       338.78100      -2.6250097     -0.12226273
       103.00000       286.85000       101631.64       8446.5149      -3.1145000       1.0897500      0.34925000       338.94800      0.72976570     0.030636243
       107.00002       287.25000       101650.64       8669.1588      -3.4957500       2.0562500      0.34525000       338.63900     -0.27652493    -0.011835046
       110.00001       286.85000       101650.64       8460.6068      -2.2942500       1.7690000      0.22225000       338.84200       1.5785388     0.055408563
       113.00003       286.85000       101650.64       8444.9229      -3.2732500       1.5135000      0.28250000       338.87600      -1.2504533    -0.059041580
       117.00001       286.85000       101631.64       8446.5149      -3.9202500       1.5330000     -0.36525000       338.67000      -2.1144180    -0.081509129
       119.99999       286.85000       101631.64       8446.5149      -2.9045000       2.6382500    -0.092500000       338.99400      -3.6539028     -0.16798214
       123.00002       286.85000       101631.64       8446.5149      -4.7130000       1.8167500     -0.62100010       338.73100      -2.4724082    -0.091364319
       127.00000       286.85000       101650.64       8444.9229      -2.5850000       3.2992500     0.082750010       339.05500      0.98218113     0.037456312
       130.00002       286.85000       101612.54       8432.4264      -3.2560000       2.4650000     -0.67300000       338.61300       5.2674720      0.15516513
       133.00000       286.75000       101650.64       8374.0953      -1.8155000       1.4865000      0.65050010       338.99900     -0.62014984    -0.025325615
       137.00002       286.85000       101650.64       8460.6068     -0.68350010       1.7952500      0.34300000       339.02500      -1.5572873    -0.061595471
       140.00001       286.75000       101650.64       8420.8367      -1.9600000      0.95825000      0.91175000       339.01500       1.1764468     0.039380535
       143.00003       286.85000       101631.64       8477.8892      -3.0050000       1.5235000     -0.10100000       338.78300       1.5318519     0.069950134
       147.00001       286.85000       101650.64       8491.9761      -2.4120000       1.5992500     -0.10975000       338.78700      -2.4300390     -0.13577310
       150.00003       286.85000       101631.64       8493.5771      -3.0795000       1.2380000     -0.27625000       338.91300      0.11391222    0.0047600203
       153.00002       286.85000       101650.64       8491.9761      -1.8695000      0.46900000     0.038750000       339.03600      -2.4530773     -0.10012909
       156.99999       286.85000       101631.64       8477.8892      -2.6875000     -0.48925000      0.63925000       339.10200       1.5479760     0.067985649
       160.00002       286.85000       101631.64       8477.8892      -3.3785000      -1.2640000      0.46950000       338.91200       4.2594805      0.17707715
       163.00000       286.85000       101631.64       8462.2018      -3.5850000      0.57925000     -0.12675000       338.63600       1.2834058     0.048111716
       167.00002       286.85000       101631.64       8415.1425      -2.0890000     -0.13625000      0.98800000       338.89600      -1.5895015    -0.073511444
       170.00000       286.75000       101650.64       8327.3582      -2.7782500      0.60975000      0.84850000       338.88400       5.6862592      0.20086488
       173.00003       286.75000       101631.64       8328.9279      -2.7085000       1.8200000    -0.072000000       338.82600      -1.8170065    -0.076675778
       177.00001       286.75000       101650.64       8327.3582      -2.0555000     -0.43450000      0.22050000       338.97200      0.40784096     0.014807601
       180.00003       286.85000       101631.64       8399.4571      -4.2642500      0.65275000     -0.50500000       338.78000      -2.3694676    -0.096487302
       183.00001       286.85000       101631.64       8415.1425      -3.5602500       1.9627500     0.079500000       338.93600      -1.9106040    -0.073955096
       186.00000       286.75000       101631.64       8375.6738      -3.3822500       1.2575000     -0.73775010       338.79400      -1.4964240    -0.059560721
       190.00002       286.75000       101631.64       8360.0914      -2.5210000       1.6730000      0.23325000       338.79400      -3.2669353     -0.14536543
       193.00000       286.75000       101631.64       8344.5094      -1.9730000      0.29150000      0.22075000       338.74000       4.0712360      0.12415355
       196.00002       286.65000       101650.64       8257.3680      -3.3002500      0.54825000     -0.13450000       338.91900     -0.18241939   -0.0071649748
       200.00000       286.85000       101650.64       8350.8296      -2.6942500     -0.62075000     -0.66275000       338.55400      -3.2187207     -0.12482323
       203.00003       286.75000       101650.64       8296.2026      -2.3940000      0.10225000     -0.37850000       338.70300      -1.0602432    -0.037190128
       206.00001       287.05000       101650.64       8492.8227      -2.0975000      0.20400000     -0.22500000       338.70100     -0.67743126    -0.031092234
       210.00003       286.65000       101631.64       8274.4025      -3.3340000     -0.60350000    -0.016000000       338.90700       5.9305600      0.19615531
       213.00001       286.75000       101650.64       8358.5158      -3.8240000     -0.52925000     -0.47100000       338.71400     0.020686864   0.00071303686
       216.00000       286.75000       101650.64       8389.6753      -2.1227500     -0.30400000      0.45375000       338.85600     -0.65447745    -0.028225714
       220.00001       286.65000       101650.64       8365.7047      -2.1015000      -1.2255000      0.43125000       338.92300     -0.89706283    -0.035164383
       223.00000       286.65000       101650.64       8381.1832      -3.5155000     -0.48350000    -0.045250000       338.68100      -1.4237540    -0.069068555
       226.00002       286.75000       101631.64       8438.0085      -2.4045000      0.87000010     0.019250000       338.88600       1.5374324     0.056849227
       230.00000       286.75000       101631.64       8453.5934      -2.1672500       1.7065000      0.40750000       339.04200      0.53260736     0.029360903
       233.00002       286.65000       101631.64       8398.2451      -3.2857500      0.61650000     -0.44200000       338.76600      -1.5285740    -0.063174621
       236.00001       286.65000       101650.64       8427.6218      -3.2945000      0.76275000     -0.27825000       338.90800       4.9983908      0.24356519
       240.00003       286.65000       101650.64       8427.6218      -1.0272500      0.70350000     -0.27100000       338.99300      -1.0157792    -0.038732615
       243.00001       286.65000       101650.64       8443.1022      -1.1107500      0.56950000    -0.025250000       339.01400      -2.8362960     -0.15793228
       245.99999       286.65000       101650.64       8443.1022      -1.2447500       1.0540000     -0.20775000       339.00600       1.6656373     0.061919834
       250.00001       286.65000       101650.64       8458.5832      -1.2867500       1.2790000     -0.16325000       338.95000       2.2547229     0.076939242
       253.00000       286.65000       101650.64       8474.0646      -1.9750000      0.97225000     0.083000000       339.15200      0.12719699    0.0051144642
       256.00002       286.65000       101650.64       8458.5832      -2.5130000      0.69575010     -0.19375000       339.16700       1.6789200     0.066463299
       260.00000       286.75000       101650.64       8514.3325      -1.9800000     0.060000000       1.0875000       339.02400       7.3512901      0.24312581
       263.00002       286.65000       101631.64       8444.6939      -4.3665000      0.83700000     -0.69625000       338.69400    -0.038313509   -0.0014254366
       266.00001       286.75000       101650.64       8483.1653      -3.9510000      0.94350000     -0.23500000       338.73000       3.6442181      0.14624992
       270.00002       286.55000       101631.64       8343.2189      -3.5490000       1.5550000     -0.30050000       338.71800      -2.7723761     -0.11053026
       273.00001       286.65000       101631.64       8398.2451      -3.4287500      0.48425000     -0.29650000       338.69700      -2.7455005     -0.10952129
       275.99999       286.75000       101650.64       8467.5824      -4.2677500       2.1060000     0.081250000       338.82100      -4.2148328     -0.16702490
       280.00001       286.65000       101650.64       8458.5832      -2.4265000      0.82825010    -0.070750010       338.83300      -1.5391602    -0.062090740
       282.99999       286.75000       101650.64       8529.9168      -2.4807500     -0.12200000    0.0047500000       338.86000      -2.6909082    -0.090554259
       286.00002       286.65000       101650.64       8489.5465      -1.9200000      0.89900000     -0.49175000       338.90700       1.0976910     0.045544516
       290.00000       286.65000       101650.64       8505.0289      -2.7402500      0.60500000     -0.21275000       338.83600     -0.34627337    -0.015456757
       293.00002       286.75000       101650.64       8576.6727      -2.9367500       1.6750000     -0.34625000       338.89500     -0.17401647   -0.0063217165
       296.00000       286.65000       101650.64       8505.0289      -3.3922500      0.43100000      0.24425000       338.77200     0.024584331   0.00097651631
       300.00002       286.75000       101650.64       8561.0869      -3.9452500       1.4387500      -1.4252500       338.87200      -3.9274607     -0.14250149
       303.00001       286.65000       101631.64       8506.6323      -2.1862500       1.3817500    -0.042250000       338.78600     0.039292572    0.0017258919
       306.00003       286.65000       101631.64       8475.6621      -4.8737500      0.31025000     -0.40725000       338.73000       2.2301586     0.079584425
       310.00001       286.55000       101650.64       8418.5375      -3.8957500     -0.24975000     -0.36425000       338.69100      -1.4303435    -0.058043838
       312.99999       286.55000       101650.64       8418.5375      -3.8207500       1.4187500     -0.35975000       338.72100      -3.4032896     -0.13900739
       316.00002       286.85000       101631.64       8587.7146      -2.1242500       1.3680000     0.062500000       338.94300       3.2267720      0.11521669
       319.99999       286.85000       101650.64       8617.4729      -1.9680000    -0.010750000     0.045500000       338.85300       3.2200049      0.15232227
       323.00002       286.65000       101650.64       8489.5465      -2.5135000      0.39725000      0.22250000       338.72500      -2.1015051    -0.076137058
       326.00000       286.55000       101631.64       8404.7424      -2.3982500       1.4115000      0.24350000       338.84600       1.5527428     0.059060156
       329.00003       286.65000       101631.64       8444.6939      -3.3705000       1.0825000      0.16975000       338.78700      -1.8329324    -0.066428141
       333.00000       286.55000       101650.64       8372.4015      -3.7912500      0.69125000      0.39450000       338.57000      0.32335416     0.017243430
       336.00003       286.65000       101631.64       8413.7275      -5.1920000     -0.47025000     -0.31000000       338.63400       4.5669065      0.20748224
       339.00001       286.65000       101631.64       8398.2451      -3.0690000    -0.080250000     0.072250000       338.68400     0.027576158    0.0012729170
       343.00003       286.65000       101650.64       8396.6623      -2.6055000      0.79125010     -0.21125000       338.79300      0.41702103     0.015286107
       346.00001       286.55000       101650.64       8326.2697      -2.1310000      0.34950000      0.33950000       338.89600     -0.58510905    -0.019878955
       349.00000       286.55000       101650.64       8310.8934      -2.6992500      0.44225000   -0.0055000000       338.64900     -0.84352766    -0.029932352
       353.00002       286.55000       101671.64       8324.5358      -3.1072500      0.48875000    -0.034000000       338.72500      -2.4419846     -0.13049646
       356.00000       286.75000       101650.64       8420.8367      -2.3962500      0.27650000    -0.022500000       338.82300       1.6278096     0.057094277
       359.00002       286.55000       101650.64       8310.8934      -2.3792500    -0.082750010     0.064250000       338.88600      -1.7454169    -0.066603696
